Date,Open,High,Low,Close,Volume,Adj. Close*
24-Oct-05,10216.11,10411.57,10219.15,10385.00,21977900,10385.00
21-Oct-05,10282.22,10354.02,10161.60,10215.22,24709200,10215.22
20-Oct-05,10411.73,10483.21,10230.27,10281.10,26172500,10281.10
19-Oct-05,10277.18,10444.15,10173.52,10414.13,27035900,10414.13
18-Oct-05,10349.14,10412.85,10233.47,10285.26,21970100,10285.26
17-Oct-05,10287.42,10419.58,10213.06,10348.10,20545700,10348.10
14-Oct-05,10216.59,10327.21,10165.12,10287.34,21889400,10287.34
13-Oct-05,10216.91,10309.20,10098.18,10216.59,23511500,10216.59
12-Oct-05,10247.40,10308.23,10186.17,10216.90,24912800,10216.90
11-Oct-05,10239.16,10361.15,10195.13,10253.17,22990400,10253.17
10-Oct-05,10292.95,10378.19,10184.09,10238.76,21959900,10238.76
7-Oct-05,10287.42,10387.48,10221.47,10292.31,21260800,10292.31
6-Oct-05,10317.36,10425.98,10200.81,10287.10,27920300,10287.10
5-Oct-05,10434.81,10477.21,10299.27,10317.36,25467800,10317.36
4-Oct-05,10534.36,10618.41,10409.89,10441.11,23414200,10441.11
3-Oct-05,10569.50,10637.00,10486.17,10535.48,20974900,10535.48
30-Sep-05,10540.51,10569.81,10526.34,10568.70,20975200,10568.70
29-Sep-05,10472.61,10583.43,10389.01,10552.78,21761200,10552.78
28-Sep-05,10456.61,10560.02,10390.05,10473.08,21069800,10473.08
27-Sep-05,10444.58,10534.31,10376.83,10456.21,19762700,10456.21
26-Sep-05,10420.22,10544.98,10381.53,10443.63,20222200,10443.63
23-Sep-05,10421.81,10494.42,10328.59,10419.59,19730200,10419.59
22-Sep-05,10376.20,10489.64,10303.51,10422.05,24247200,10422.05
21-Sep-05,10484.23,10512.02,10335.28,10378.03,25481500,10378.03
20-Sep-05,10558.19,10642.26,10453.98,10481.52,23192500,10481.52
19-Sep-05,10641.87,10656.75,10497.29,10557.63,20765400,10557.63
16-Sep-05,10560.50,10696.24,10539.64,10641.94,31524700,10641.94
15-Sep-05,10545.85,10627.85,10488.05,10558.75,20793400,10558.75
14-Sep-05,10597.52,10673.71,10510.26,10544.90,19867500,10544.90
13-Sep-05,10673.71,10701.57,10561.61,10597.44,20823600,10597.44
12-Sep-05,10678.41,10743.77,10618.13,10682.94,19380500,10682.94
9-Sep-05,10594.10,10727.53,10573.47,10678.56,19925600,10678.56
8-Sep-05,10633.11,10670.60,10530.01,10595.93,19553800,10595.93
7-Sep-05,10588.68,10667.10,10534.23,10633.50,20677000,10633.50
6-Sep-05,10447.69,10621.96,10447.69,10589.24,19320900,10589.24
2-Sep-05,10460.67,10536.14,10400.88,10447.37,16401600,10447.37
1-Sep-05,10481.44,10557.47,10382.09,10459.63,22298600,10459.63
31-Aug-05,10415.84,10484.55,10357.65,10481.60,23655100,10481.60
30-Aug-05,10461.54,10476.83,10329.15,10412.82,19164700,10412.82
29-Aug-05,10396.90,10508.35,10321.42,10463.05,15994500,10463.05
26-Aug-05,10450.95,10480.01,10355.02,10397.29,15410900,10397.29
25-Aug-05,10434.39,10506.60,10391.71,10450.63,15711100,10450.63
24-Aug-05,10519.34,10584.30,10407.56,10434.87,19308000,10434.87
23-Aug-05,10571.01,10604.29,10475.63,10519.58,16786200,10519.58
22-Aug-05,10559.78,10669.81,10509.07,10569.89,16213300,10569.89
19-Aug-05,10552.70,10656.59,10503.90,10559.23,15587900,10559.23
18-Aug-05,10531.12,10592.34,10517.67,10554.92,18081700,10554.92
17-Aug-05,10505.60,10625.86,10472.45,10550.71,18591500,10550.71
16-Aug-05,10631.59,10650.14,10489.24,10513.45,18204100,10513.45
15-Aug-05,10599.19,10687.72,10532.48,10634.38,15628800,10634.38
12-Aug-05,10682.70,10688.68,10549.19,10600.30,17093000,10600.30
11-Aug-05,10591.83,10721.56,10549.43,10685.89,19415600,10685.89
10-Aug-05,10606.52,10746.87,10553.81,10594.41,21723200,10594.41
9-Aug-05,10537.65,10662.80,10537.01,10615.67,18975200,10615.67
8-Aug-05,10557.24,10635.65,10497.45,10536.93,18041400,10536.93
5-Aug-05,10610.34,10643.46,10512.49,10558.03,19302800,10558.03
4-Aug-05,10696.80,10709.77,10568.70,10610.10,19812200,10610.10
3-Aug-05,10681.51,10735.17,10600.02,10697.59,19999800,10697.59
2-Aug-05,10623.79,10729.60,10600.62,10683.74,20431200,10683.74
1-Aug-05,10641.78,10713.51,10578.97,10623.15,17168700,10623.15
29-Jul-05,10705.16,10754.60,10608.27,10640.91,17896000,10640.91
28-Jul-05,10633.50,10745.68,10603.49,10705.55,20016800,10705.55
27-Jul-05,10579.45,10689.31,10530.50,10637.09,19458000,10637.09
26-Jul-05,10597.60,10667.90,10535.58,10579.77,19341800,10579.77
25-Jul-05,10651.66,10709.69,10565.12,10596.48,17175800,10596.48
22-Jul-05,10624.19,10702.21,10552.54,10651.18,17669900,10651.18
21-Jul-05,10690.03,10735.33,10567.98,10627.77,21298400,10627.77
20-Jul-05,10629.52,10726.81,10535.10,10689.15,20633400,10689.15
19-Jul-05,10576.90,10718.69,10573.00,10646.56,20412800,10646.56
18-Jul-05,10640.19,10681.99,10533.59,10574.99,15821000,10574.99
15-Jul-05,10629.44,10698.07,10559.46,10640.83,17164000,10640.83
14-Jul-05,10559.86,10696.96,10559.86,10628.88,20487100,10628.88
13-Jul-05,10513.36,10596.98,10481.36,10557.39,18125000,10557.39
12-Jul-05,10519.49,10583.02,10444.46,10513.89,19320100,10513.89
11-Jul-05,10449.60,10570.67,10425.97,10519.72,18108300,10519.72
8-Jul-05,10302.90,10486.50,10279.65,10449.14,19008100,10449.14
7-Jul-05,10269.76,10337.84,10142.24,10302.29,19524400,10302.29
6-Jul-05,10366.52,10413.23,10242.21,10270.68,18834700,10270.68
5-Jul-05,10292.62,10388.91,10282.64,10371.80,18058200,10371.80
1-Jul-05,10273.59,10380.78,10239.91,10303.44,15938200,10303.44
30-Jun-05,10374.18,10458.19,10253.49,10274.97,21094900,10274.97
29-Jun-05,10405.94,10472.46,10332.52,10374.48,17692800,10374.48
28-Jun-05,10291.01,10434.18,10285.86,10405.63,17724100,10405.63
27-Jun-05,10298.07,10377.55,10229.40,10290.78,17386200,10290.78
24-Jun-05,10422.28,10452.82,10266.30,10297.83,24188000,10297.83
23-Jun-05,10587.09,10617.39,10401.49,10421.44,20299200,10421.44
22-Jun-05,10599.36,10676.24,10543.28,10587.93,18232500,10587.93
21-Jun-05,10608.88,10670.56,10545.89,10599.67,17207000,10599.67
20-Jun-05,10621.54,10656.66,10539.21,10609.10,17145300,10609.10
17-Jun-05,10580.41,10710.38,10561.00,10623.07,24073700,10623.07
16-Jun-05,10566.76,10632.20,10501.92,10578.65,17760400,10578.65
15-Jun-05,10548.65,10628.67,10471.69,10566.37,18404400,10566.37
14-Jun-05,10521.95,10617.01,10473.92,10547.57,16981500,10547.57
13-Jun-05,10503.57,10611.10,10437.32,10522.56,16613500,10522.56
10-Jun-05,10503.02,10581.13,10410.50,10512.63,16641800,10512.63
9-Jun-05,10477.75,10556.90,10410.80,10503.02,18241200,10503.02
8-Jun-05,10484.84,10575.81,10439.77,10476.86,17154900,10476.86
7-Jun-05,10466.00,10603.15,10454.18,10483.07,18513700,10483.07
6-Jun-05,10461.64,10519.79,10410.28,10467.03,15471200,10467.03
3-Jun-05,10552.82,10572.18,10427.35,10460.97,16275200,10460.97
2-Jun-05,10548.83,10590.07,10478.26,10553.49,18137900,10553.49
1-Jun-05,10462.86,10616.15,10433.48,10549.87,18101000,10549.87
31-May-05,10541.89,10574.92,10437.77,10467.48,18406800,10467.48
27-May-05,10537.08,10579.94,10489.35,10542.55,13814300,10542.55
26-May-05,10458.68,10581.87,10450.55,10537.60,16541100,10537.60
25-May-05,10503.17,10516.17,10396.46,10457.80,17421800,10457.80
24-May-05,10522.68,10550.24,10433.78,10503.68,16810000,10503.68
23-May-05,10472.80,10589.92,10438.36,10523.56,16811700,10523.56
20-May-05,10492.75,10535.24,10400.60,10471.91,16317500,10471.91
19-May-05,10464.45,10538.71,10394.39,10493.19,17758600,10493.19
18-May-05,10323.19,10518.17,10323.19,10464.45,22663200,10464.45
17-May-05,10247.49,10357.30,10175.81,10331.88,18872600,10331.88
16-May-05,10139.61,10274.39,10118.32,10252.29,18568600,10252.29
13-May-05,10188.23,10268.85,10062.76,10140.12,21885900,10140.12
12-May-05,10299.74,10357.37,10155.86,10189.48,19952900,10189.48
11-May-05,10272.91,10355.31,10172.86,10300.25,18349700,10300.25
10-May-05,10382.94,10389.96,10230.35,10281.11,18896600,10281.11
9-May-05,10345.40,10416.56,10288.95,10384.34,18570200,10384.34
6-May-05,10339.71,10454.40,10300.70,10345.40,17072000,10345.40
